Agency,Agency Type,Distribution Channel,Duration,Destination,Net Sales,Commision (in value),Age,Claim,Product_Category
CWT,Travel Agency,Online,40,Europe,69.3,41.58,50,0,Rental
JZI,Airlines,Online,19,North America,0.0,33.6,42,0,Value Plan
EPX,Travel Agency,Online,56,Asia,75.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,26,Oceania,29.7,17.82,45,0,Rental
JZI,Airlines,Online,44,Asia,30.0,10.5,56,0,Value Plan
EPX,Travel Agency,Online,28,North America,112.0,0.0,57,0,Comprehensive
EPX,Travel Agency,Online,63,Asia,31.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,45,Asia,44.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,5,Asia,35.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,39,Asia,26.0,9.1,68,0,Value Plan
EPX,Travel Agency,Online,122,Asia,80.0,0.0,36,0,Cancellation
JZI,Airlines,Online,1,Asia,18.0,6.3,25,0,Value Plan
KML,Travel Agency,Online,12,Asia,28.0,10.64,48,0,Value Plan
C2B,Airlines,Online,3,Asia,16.0,4.0,28,0,Value Plan
JZI,Airlines,Online,7,Asia,18.0,6.3,53,0,Value Plan
EPX,Travel Agency,Online,4,Asia,29.0,0.0,47,0,Comprehensive
EPX,Travel Agency,Online,3,North America,80.0,0.0,34,0,Cancellation
C2B,Airlines,Online,3,Asia,15.0,3.75,50,0,Value Plan
CWT,Travel Agency,Online,57,Asia,19.8,11.88,31,0,Rental
CWT,Travel Agency,Online,56,Europe,69.3,41.58,55,0,Rental
C2B,Airlines,Online,3,Asia,19.2,4.8,24,1,Value Plan
EPX,Travel Agency,Online,9,Asia,26.0,0.0,23,0,Comprehensive
CWT,Travel Agency,Online,21,Oceania,29.7,17.82,33,0,Rental
CWT,Travel Agency,Online,52,Asia,287.1,172.26,31,0,Rental
EPX,Travel Agency,Online,35,Asia,20.0,0.0,27,0,Comprehensive
LWC,Travel Agency,Online,30,Europe,47.0,30.55,40,0,Single Trip
EPX,Travel Agency,Online,42,Asia,26.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,29,Asia,20.0,0.0,36,0,Comprehensive
KML,Travel Agency,Online,24,Asia,28.0,10.64,48,0,Value Plan
JZI,Airlines,Online,13,Asia,22.0,7.7,45,0,Value Plan
EPX,Travel Agency,Online,19,Asia,24.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,3,Asia,19.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,9,Asia,21.0,0.0,31,0,Comprehensive
KML,Travel Agency,Online,5,Asia,28.0,10.64,48,0,Value Plan
EPX,Travel Agency,Online,17,Oceania,28.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,183,Europe,15.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,7,Asia,19.8,11.88,31,0,Rental
EPX,Travel Agency,Online,8,Asia,16.0,0.0,36,0,Cancellation
JZI,Airlines,Online,194,Asia,35.0,12.25,39,0,Value Plan
JWT,Airlines,Online,6,Asia,78.0,31.2,118,0,Value Plan
EPX,Travel Agency,Online,17,Oceania,56.0,0.0,36,0,Comprehensive
JWT,Airlines,Online,2,Asia,93.0,37.2,118,0,Value Plan
EPX,Travel Agency,Online,85,Asia,20.0,0.0,72,0,Comprehensive
CWT,Travel Agency,Online,14,Asia,29.7,17.82,37,0,Rental
C2B,Airlines,Online,10,Asia,39.0,9.75,38,0,Value Plan
JZI,Airlines,Online,89,Oceania,40.0,14.0,67,0,Value Plan
EPX,Travel Agency,Online,18,Asia,49.0,0.0,33,0,Comprehensive
EPX,Travel Agency,Online,38,Asia,36.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,10,Asia,18.5,4.63,43,0,Value Plan
EPX,Travel Agency,Online,50,Asia,41.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,13,Asia,27.0,6.75,24,0,Value Plan
EPX,Travel Agency,Online,74,Asia,35.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,5,North America,62.0,0.0,40,0,Cancellation
EPX,Travel Agency,Online,9,Asia,64.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,4,Asia,35.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,7,Asia,0.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,62,Asia,20.0,0.0,29,0,Comprehensive
C2B,Airlines,Online,13,Asia,33.5,8.38,34,0,Value Plan
CWT,Travel Agency,Online,10,Europe,19.8,11.88,36,0,Rental
EPX,Travel Agency,Online,81,North America,112.0,0.0,65,0,Comprehensive
EPX,Travel Agency,Online,12,Asia,11.0,0.0,27,0,Cancellation
CWT,Travel Agency,Online,7,Asia,19.8,11.88,56,0,Rental
JZI,Airlines,Online,43,Asia,22.0,7.7,35,0,Value Plan
C2B,Airlines,Online,44,Asia,22.5,5.63,25,0,Value Plan
EPX,Travel Agency,Online,7,Europe,26.0,0.0,36,0,Cancellation
C2B,Airlines,Online,23,Asia,20.0,5.0,35,0,Value Plan
EPX,Travel Agency,Online,5,Europe,29.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,53,Europe,55.0,0.0,36,0,Cancellation
C2B,Airlines,Online,45,Asia,25.0,6.25,39,0,Value Plan
JZI,Airlines,Online,8,Asia,22.0,7.7,61,0,Value Plan
CWT,Travel Agency,Online,15,Asia,29.7,17.82,48,0,Rental
EPX,Travel Agency,Online,20,Asia,20.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,28,Oceania,128.7,77.22,41,0,Rental
EPX,Travel Agency,Online,29,Asia,10.0,0.0,52,0,Cancellation
CWT,Travel Agency,Online,54,Europe,39.6,23.76,43,0,Rental
EPX,Travel Agency,Online,37,Asia,21.0,0.0,37,0,Cancellation
EPX,Travel Agency,Online,93,Asia,53.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,10,Oceania,29.7,17.82,33,0,Rental
CWT,Travel Agency,Online,16,Asia,59.4,35.64,28,0,Rental
EPX,Travel Agency,Online,20,Asia,38.0,0.0,27,0,Comprehensive
JZI,Airlines,Online,2,Asia,18.0,6.3,33,0,Value Plan
C2B,Airlines,Online,12,Asia,32.5,8.13,27,0,Value Plan
EPX,Travel Agency,Online,4,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,45,Asia,19.0,0.0,36,0,Cancellation
C2B,Airlines,Online,5,Asia,13.5,3.38,35,0,Value Plan
C2B,Airlines,Online,364,Asia,252.85,63.21,66,0,Annual
EPX,Travel Agency,Online,29,Asia,10.0,0.0,29,0,Cancellation
EPX,Travel Agency,Online,14,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,34,Asia,26.0,0.0,36,0,Cancellation
LWC,Travel Agency,Online,9,Asia,31.2,20.28,29,0,Single Trip
EPX,Travel Agency,Online,8,Asia,20.0,0.0,22,0,Comprehensive
EPX,Travel Agency,Online,11,Asia,10.0,0.0,64,0,Cancellation
EPX,Travel Agency,Online,3,Asia,34.0,0.0,36,1,Cancellation
EPX,Travel Agency,Online,10,Asia,17.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,9,Asia,71.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,6,Asia,48.0,0.0,57,0,Comprehensive
CWT,Travel Agency,Online,11,Asia,49.5,29.7,49,0,Rental
JZI,Airlines,Online,39,Asia,22.0,7.7,41,0,Value Plan
C2B,Airlines,Online,6,Asia,18.0,4.5,43,0,Value Plan
EPX,Travel Agency,Online,227,North America,80.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,5,Asia,47.0,0.0,53,0,Comprehensive
EPX,Travel Agency,Online,17,Asia,20.0,0.0,33,0,Comprehensive
C2B,Airlines,Online,46,Asia,25.0,6.25,29,0,Value Plan
CWT,Travel Agency,Online,35,Africa,0.0,23.76,35,0,Rental
JZI,Airlines,Online,23,Asia,18.0,6.3,26,0,Value Plan
EPX,Travel Agency,Online,43,Asia,31.0,0.0,36,0,Cancellation
JZI,Airlines,Online,58,Europe,181.0,63.35,25,0,Value Plan
EPX,Travel Agency,Online,36,Asia,27.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,180,Asia,24.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,29.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,18,Asia,39.0,0.0,40,0,Comprehensive
EPX,Travel Agency,Online,9,Asia,112.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,56,Asia,22.5,5.63,68,0,Value Plan
SSI,Airlines,Online,60,Asia,2.64,0.74,48,0,Cancellation
EPX,Travel Agency,Online,7,Asia,50.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,18,Asia,29.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,21,Asia,49.0,0.0,49,0,Cancellation
CWT,Travel Agency,Online,5,Europe,39.6,23.76,46,0,Rental
EPX,Travel Agency,Online,118,Asia,10.0,0.0,35,0,Cancellation
CWT,Travel Agency,Online,72,Asia,39.6,23.76,34,0,Rental
EPX,Travel Agency,Online,17,Asia,20.0,0.0,32,0,Comprehensive
EPX,Travel Agency,Online,9,Asia,77.0,0.0,35,0,Comprehensive
EPX,Travel Agency,Online,25,Oceania,20.0,0.0,31,0,Comprehensive
EPX,Travel Agency,Online,22,Asia,47.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,11,Asia,35.0,12.25,37,0,Value Plan
JWT,Airlines,Online,25,Asia,39.0,15.6,118,0,Value Plan
JZI,Airlines,Online,10,Asia,22.0,7.7,40,0,Value Plan
EPX,Travel Agency,Online,23,Asia,16.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,19,Asia,63.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,12,Asia,37.0,0.0,36,0,Cancellation
JZI,Airlines,Online,125,Asia,26.0,9.1,40,0,Value Plan
EPX,Travel Agency,Online,8,Asia,13.0,0.0,25,0,Cancellation
EPX,Travel Agency,Online,54,Asia,57.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,28,Europe,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,47,Asia,30.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,21,Asia,36.0,0.0,36,0,Cancellation
C2B,Airlines,Online,10,Asia,22.5,5.63,48,0,Value Plan
EPX,Travel Agency,Online,9,Asia,45.0,0.0,67,0,Cancellation
JZI,Airlines,Online,16,Asia,58.0,20.3,29,0,Value Plan
C2B,Airlines,Online,38,Asia,31.85,7.96,25,0,Value Plan
CWT,Travel Agency,Online,33,Asia,0.0,41.58,53,0,Rental
EPX,Travel Agency,Online,3,Asia,22.0,0.0,36,0,Cancellation
SSI,Airlines,Online,14,Asia,1.93,0.54,48,0,Cancellation
EPX,Travel Agency,Online,42,Asia,22.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,1,Asia,19.0,0.0,36,0,Cancellation
LWC,Travel Agency,Online,365,Asia,204.6,132.99,35,1,Annual
EPX,Travel Agency,Online,96,Asia,24.0,0.0,27,0,Cancellation
EPX,Travel Agency,Online,56,Asia,17.0,0.0,36,0,Cancellation
CCR,Travel Agency,Offline,5,Asia,0.0,9.57,27,0,Comprehensive
EPX,Travel Agency,Online,27,Asia,20.0,0.0,30,0,Comprehensive
CWT,Travel Agency,Online,42,Oceania,59.4,35.64,32,0,Rental
EPX,Travel Agency,Online,4,Asia,38.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,84,Asia,28.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,132,Asia,33.5,8.38,25,0,Value Plan
EPX,Travel Agency,Online,14,Asia,42.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,94,Asia,37.0,12.95,43,0,Value Plan
EPX,Travel Agency,Online,6,Europe,13.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,51,Asia,48.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,52,Asia,34.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,42,North America,40.0,0.0,55,0,Cancellation
C2B,Airlines,Online,10,Asia,32.4,8.1,34,0,Value Plan
EPX,Travel Agency,Online,7,Asia,20.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,48,Europe,19.8,11.88,30,0,Rental
EPX,Travel Agency,Online,12,Asia,54.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,10,Asia,20.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,27,Asia,14.0,0.0,35,0,Cancellation
EPX,Travel Agency,Online,92,North America,90.0,0.0,40,0,Comprehensive
C2B,Airlines,Online,70,Asia,72.0,18.0,63,0,Value Plan
EPX,Travel Agency,Online,15,Asia,44.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,30,Asia,10.0,0.0,39,0,Cancellation
CWT,Travel Agency,Online,61,Oceania,49.5,29.7,31,1,Rental
JZI,Airlines,Online,48,Asia,37.0,12.95,33,0,Value Plan
EPX,Travel Agency,Online,47,North America,112.0,0.0,33,0,Comprehensive
EPX,Travel Agency,Online,25,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,33,Asia,37.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,36,Asia,39.6,23.76,26,0,Rental
C2B,Airlines,Online,6,Asia,23.4,5.85,30,0,Value Plan
EPX,Travel Agency,Online,44,North America,80.0,0.0,38,0,Cancellation
EPX,Travel Agency,Online,68,Asia,72.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,35,North America,20.0,0.0,38,0,Comprehensive
EPX,Travel Agency,Online,7,Asia,98.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,7,Oceania,59.4,35.64,60,0,Rental
EPX,Travel Agency,Online,49,Asia,16.0,0.0,30,0,Cancellation
CWT,Travel Agency,Online,58,Europe,59.4,35.64,36,0,Rental
EPX,Travel Agency,Online,39,North America,112.0,0.0,26,0,Comprehensive
EPX,Travel Agency,Online,41,Asia,11.0,0.0,36,0,Cancellation
C2B,Airlines,Online,16,Asia,34.5,8.63,30,0,Value Plan
CWT,Travel Agency,Online,93,Oceania,108.9,65.34,31,0,Rental
C2B,Airlines,Online,51,Asia,47.0,11.75,27,0,Value Plan
EPX,Travel Agency,Online,19,Asia,10.0,0.0,53,0,Cancellation
EPX,Travel Agency,Online,54,Asia,23.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,23,Europe,112.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,17,Asia,39.6,23.76,46,0,Rental
EPX,Travel Agency,Online,6,Asia,17.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,40,Asia,59.4,35.64,46,0,Rental
EPX,Travel Agency,Online,74,Asia,78.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,4,Asia,0.0,7.7,71,0,Value Plan
EPX,Travel Agency,Online,7,Europe,112.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,203,Oceania,99.0,59.4,39,0,Rental
EPX,Travel Agency,Online,18,Asia,17.0,0.0,40,0,Cancellation
CWT,Travel Agency,Online,63,Oceania,0.0,29.7,31,0,Rental
EPX,Travel Agency,Online,20,Asia,10.0,0.0,30,0,Cancellation
JZI,Airlines,Online,6,Asia,22.0,7.7,54,0,Value Plan
EPX,Travel Agency,Online,139,Asia,38.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,1,North America,15.0,0.0,54,0,Cancellation
JZI,Airlines,Online,18,Asia,26.0,9.1,20,0,Value Plan
ART,Airlines,Online,105,Europe,110.0,38.5,118,0,Value Plan
EPX,Travel Agency,Online,31,Asia,10.0,0.0,33,0,Cancellation
EPX,Travel Agency,Online,10,Asia,23.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,88,Asia,228.5,57.13,64,0,Value Plan
JZI,Airlines,Online,59,Asia,40.0,14.0,68,0,Value Plan
EPX,Travel Agency,Online,23,North America,101.0,0.0,22,0,Comprehensive
C2B,Airlines,Online,14,Asia,29.5,7.38,40,0,Value Plan
EPX,Travel Agency,Online,127,Europe,55.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,10,Europe,59.4,35.64,49,0,Rental
EPX,Travel Agency,Online,36,Asia,24.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,21,Oceania,39.6,23.76,38,0,Rental
EPX,Travel Agency,Online,197,Asia,36.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,49,Europe,68.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,29,Asia,25.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,44,Asia,15.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,11,Europe,49.5,29.7,45,0,Rental
EPX,Travel Agency,Online,15,Asia,17.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,8,Asia,29.7,17.82,27,0,Rental
EPX,Travel Agency,Online,113,Oceania,64.0,0.0,36,0,Comprehensive
TST,Travel Agency,Offline,112,Asia,30.0,10.5,64,0,Single Trip
C2B,Airlines,Online,11,Asia,29.5,7.38,33,1,Value Plan
EPX,Travel Agency,Online,22,Asia,37.0,0.0,36,0,Comprehensive
ART,Airlines,Online,106,Asia,5.62,1.97,48,0,Annual
EPX,Travel Agency,Online,91,Asia,21.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,47,Asia,48.0,0.0,36,0,Cancellation
JWT,Airlines,Online,9,Asia,39.0,15.6,118,0,Value Plan
EPX,Travel Agency,Online,28,Oceania,53.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,102,Asia,56.0,0.0,36,0,Cancellation
C2B,Airlines,Online,3,Asia,18.0,4.5,49,0,Value Plan
EPX,Travel Agency,Online,24,Asia,62.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,17,Asia,16.0,0.0,28,0,Cancellation
RAB,Airlines,Online,38,Asia,15.0,6.0,47,0,Value Plan
C2B,Airlines,Online,64,Asia,142.5,35.63,52,0,Value Plan
JZI,Airlines,Online,2,Asia,18.0,6.3,50,0,Value Plan
JZI,Airlines,Online,4,Asia,26.0,9.1,38,0,Value Plan
JZI,Airlines,Online,58,Asia,22.0,7.7,56,0,Value Plan
EPX,Travel Agency,Online,12,Asia,27.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,13,Asia,25.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,13,Europe,0.0,47.52,36,0,Rental
CWT,Travel Agency,Online,2,Asia,0.0,5.94,53,0,Rental
EPX,Travel Agency,Online,16,Asia,39.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,46,Asia,62.0,0.0,35,0,Comprehensive
CWT,Travel Agency,Online,54,Oceania,79.2,47.52,30,0,Rental
JZI,Airlines,Online,10,Asia,22.0,7.7,44,0,Value Plan
EPX,Travel Agency,Online,17,Asia,20.0,0.0,66,0,Comprehensive
C2B,Airlines,Online,4,Asia,18.5,4.63,32,0,Value Plan
EPX,Travel Agency,Online,24,Asia,41.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,364,Asia,252.85,63.21,31,1,Annual
EPX,Travel Agency,Online,11,Asia,21.0,0.0,43,0,Cancellation
EPX,Travel Agency,Online,15,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,82,Asia,10.0,0.0,36,0,Cancellation
CWT,Travel Agency,Online,28,Asia,39.6,23.76,46,0,Rental
EPX,Travel Agency,Online,4,Asia,10.0,0.0,40,0,Cancellation
EPX,Travel Agency,Online,32,Asia,21.0,0.0,26,0,Comprehensive
EPX,Travel Agency,Online,172,North America,99.0,0.0,46,0,Comprehensive
JZI,Airlines,Online,18,Asia,18.0,6.3,30,0,Value Plan
EPX,Travel Agency,Online,61,Europe,110.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,5,Asia,20.0,0.0,24,0,Comprehensive
C2B,Airlines,Online,13,Asia,29.9,7.47,26,0,Value Plan
JZI,Airlines,Online,5,Asia,18.0,6.3,60,0,Value Plan
EPX,Travel Agency,Online,13,Asia,25.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,16,Asia,22.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,65,Asia,20.0,0.0,36,0,Comprehensive
CCR,Travel Agency,Offline,10,Asia,29.0,9.57,30,0,Comprehensive
EPX,Travel Agency,Online,135,Asia,11.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,31,Asia,33.0,0.0,36,0,Cancellation
C2B,Airlines,Online,21,Asia,13.5,3.38,30,0,Value Plan
EPX,Travel Agency,Online,8,Asia,41.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,12.0,0.0,68,0,Cancellation
EPX,Travel Agency,Online,86,Asia,63.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,10,Asia,11.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,15,Asia,87.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,23,Asia,20.0,5.0,36,0,Value Plan
CWT,Travel Agency,Online,82,Asia,29.7,17.82,53,0,Rental
EPX,Travel Agency,Online,20,Oceania,15.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,2,Asia,22.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,58,Asia,49.5,29.7,32,0,Rental
CWT,Travel Agency,Online,26,Asia,29.7,17.82,38,0,Rental
CWT,Travel Agency,Online,155,Europe,39.6,23.76,31,0,Rental
EPX,Travel Agency,Online,7,Asia,22.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,83,Oceania,118.8,71.28,44,0,Rental
JWT,Airlines,Online,97,Asia,31.0,12.4,118,0,Value Plan
EPX,Travel Agency,Online,11,Asia,10.0,0.0,33,0,Cancellation
EPX,Travel Agency,Online,26,Europe,60.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,43,Europe,112.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,5,Asia,29.7,17.82,37,0,Rental
EPX,Travel Agency,Online,27,Africa,24.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,19,Asia,21.0,0.0,36,0,Comprehensive
KML,Travel Agency,Online,5,Asia,29.0,11.02,48,0,Value Plan
EPX,Travel Agency,Online,6,Asia,68.0,0.0,36,0,Comprehensive
JWT,Airlines,Online,40,Asia,0.0,12.4,118,0,Value Plan
C2B,Airlines,Online,8,Asia,24.05,6.01,21,0,Value Plan
JZI,Airlines,Online,8,Asia,22.0,7.7,60,0,Value Plan
CCR,Travel Agency,Offline,6,Asia,29.0,9.57,118,0,Comprehensive
JZI,Airlines,Online,4,Asia,22.0,7.7,44,0,Value Plan
EPX,Travel Agency,Online,39,Europe,69.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,4,Asia,13.5,3.38,27,0,Value Plan
SSI,Airlines,Online,22,Asia,1.35,0.38,48,0,Cancellation
EPX,Travel Agency,Online,8,Europe,11.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,13,Asia,43.0,0.0,42,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,29.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,69,Europe,21.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,3,Asia,14.0,0.0,33,0,Cancellation
C2B,Airlines,Online,13,Asia,26.5,6.63,48,0,Value Plan
RAB,Airlines,Online,3,Asia,15.0,6.0,47,0,Value Plan
EPX,Travel Agency,Online,5,Asia,78.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,7,Asia,57.0,0.0,31,0,Cancellation
EPX,Travel Agency,Online,68,Oceania,90.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,9,Asia,29.7,17.82,33,0,Rental
JZI,Airlines,Online,47,Europe,87.0,30.45,22,0,Value Plan
C2B,Airlines,Online,61,Asia,16.0,4.0,46,0,Value Plan
JZI,Airlines,Online,21,Asia,22.0,7.7,29,0,Value Plan
EPX,Travel Agency,Online,56,Asia,10.0,0.0,39,0,Cancellation
EPX,Travel Agency,Online,6,Asia,20.0,0.0,33,0,Comprehensive
EPX,Travel Agency,Online,50,Asia,10.0,0.0,45,0,Cancellation
EPX,Travel Agency,Online,41,Asia,54.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,57,Asia,10.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,55,Africa,64.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,7,Asia,76.0,0.0,36,0,Cancellation
C2B,Airlines,Online,26,Asia,71.0,17.75,26,0,Value Plan
EPX,Travel Agency,Online,35,Asia,38.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,4,Asia,16.0,4.0,34,0,Value Plan
EPX,Travel Agency,Online,64,North America,0.0,0.0,67,0,Comprehensive
EPX,Travel Agency,Online,17,Asia,12.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,7,Asia,10.0,0.0,51,0,Cancellation
EPX,Travel Agency,Online,52,Asia,28.0,0.0,36,0,Comprehensive
JZI,Airlines,Online,33,Asia,26.0,9.1,59,0,Value Plan
EPX,Travel Agency,Online,7,Asia,32.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,8,Asia,23.0,0.0,45,0,Comprehensive
EPX,Travel Agency,Online,43,Europe,112.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,26,Asia,29.7,17.82,31,0,Rental
EPX,Travel Agency,Online,84,Asia,20.0,0.0,28,0,Comprehensive
RAB,Airlines,Online,14,Asia,15.0,6.0,35,0,Value Plan
EPX,Travel Agency,Online,112,Asia,15.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,28,Asia,13.0,0.0,36,0,Cancellation
EPX,Travel Agency,Online,46,Asia,25.0,0.0,36,0,Cancellation
C2B,Airlines,Online,12,Asia,40.0,10.0,28,0,Value Plan
EPX,Travel Agency,Online,16,Asia,37.0,0.0,51,0,Comprehensive
C2B,Airlines,Online,12,Asia,26.5,6.63,27,0,Value Plan
CWT,Travel Agency,Online,13,Asia,9.9,5.94,31,0,Rental
C2B,Airlines,Online,22,Asia,60.0,15.0,21,0,Value Plan
EPX,Travel Agency,Online,6,Asia,24.0,0.0,67,0,Comprehensive
EPX,Travel Agency,Online,46,Asia,14.0,0.0,54,0,Cancellation
EPX,Travel Agency,Online,230,Asia,39.0,0.0,26,0,Cancellation
EPX,Travel Agency,Online,79,Asia,21.0,0.0,36,0,Comprehensive
C2B,Airlines,Online,10,Asia,39.0,9.75,47,0,Value Plan
EPX,Travel Agency,Online,23,Asia,20.0,0.0,59,0,Comprehensive
EPX,Travel Agency,Online,159,Asia,20.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,63,Asia,54.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,120,Asia,36.0,0.0,36,0,Comprehensive
CWT,Travel Agency,Online,31,Oceania,79.2,47.52,41,0,Rental
JZI,Airlines,Online,39,Asia,35.0,12.25,28,0,Value Plan
C2B,Airlines,Online,81,Asia,76.0,19.0,27,0,Value Plan
EPX,Travel Agency,Online,31,Asia,53.0,0.0,30,0,Cancellation
EPX,Travel Agency,Online,32,Asia,30.0,0.0,36,0,Comprehensive
EPX,Travel Agency,Online,17,North America,29.0,0.0,55,0,Comprehensive
CWT,Travel Agency,Online,3,Asia,19.8,11.88,58,0,Rental
EPX,Travel Agency,Online,89,North America,112.0,0.0,42,0,Comprehensive
JWT,Airlines,Online,24,Asia,50.0,20.0,118,0,Value Plan
JZI,Airlines,Online,22,Asia,26.0,9.1,45,0,Value Plan
EPX,Travel Agency,Online,103,Asia,23.0,0.0,31,0,Cancellation
SSI,Airlines,Online,10,Asia,0.81,0.23,48,0,Cancellation
EPX,Travel Agency,Online,48,Asia,18.0,0.0,36,0,Cancellation
C2B,Airlines,Online,10,Asia,43.55,10.89,45,1,Value Plan
SSI,Airlines,Online,1,Asia,0.48,0.14,48,0,Cancellation
EPX,Travel Agency,Online,57,Asia,44.0,0.0,21,0,Comprehensive
